"location","exported","imported","total","inUS"
"Texas",635,,566,"true"
"Alabama",268,2,1428,"true"
"North Carolina",158,14,2627,"true"
"South Carolina",139,12,1618,"true"
"Georgia",137,19,3479,"true"
"Puerto Rico",131,,,"false"
"California",130,3,1664,"true"
"South Korea",76,,,"false"
"Tennessee",66,20,1769,"true"
"Kentucky",57,4,1123,"true"
"Mississippi",55,,510,"true"
"Mexico",54,,,"false"
"Louisiana",53,,912,"true"
"West Virginia",50,,565,"true"
"Florida",49,32,2659,"true"
"Arkansas",47,1,695,"true"
"China",28,,,"false"
"New Mexico",27,,636,"true"
"Thailand",20,,,"false"
"Virginia",20,183,3058,"true"
"India",18,,,"false"
"Taiwan",18,,,"false"
"New York",17,390,4002,"true"
"Egypt",15,,,"false"
"Arizona",14,14,2248,"true"
"Bahamas",13,,,"false"
"Indiana",10,20,1877,"true"
"Missouri",9,4,920,"true"
"Ohio",9,33,2670,"true"
"Oklahoma",9,5,1636,"true"
"Pennsylvania",9,228,2821,"true"
"Spain",8,,,"false"
"Haiti",7,,,"false"
"New Jersey",7,270,3022,"true"
"Oman",7,,,"false"
"Illinois",6,8,1114,"true"
"Kuwait",5,,,"false"
"Maryland",4,123,1493,"true"
"Nebraska",4,,120,"true"
"Qatar",4,,,"false"
"Utah",4,56,485,"true"
"Connecticut",3,51,1422,"true"
"Costa Rica",3,,,"false"
"Greece",3,,,"false"
"Idaho",3,,49,"true"
"Kansas",3,1,470,"true"
"Russia",3,,,"false"
"Wisconsin",3,74,542,"true"
"Afghanistan",2,,,"false"
"Colorado",2,71,1773,"true"
"England",2,,,"false"
"Hawaii",2,,69,"true"
"Iowa",2,14,485,"true"
"Massachusetts",2,77,946,"true"
"North Dakota",2,,64,"true"
"South Dakota",2,,24,"true"
"Washington",2,334,1277,"true"
"Aruba",1,,,"false"
"Azerbaijan",1,,,"false"
"Bahrain",1,,,"false"
"Bosnia",1,,,"false"
"British Virgin Islands",1,,,"false"
"Canada",1,,,"false"
"Cayman Islands",1,,,"false"
"Finland",1,,,"false"
"Honduras",1,,,"false"
"Indianapolis",1,,,"false"
"Iran",1,,,"false"
"Ireland",1,,,"false"
"Maine",1,87,545,"true"
"Nevada",1,10,857,"true"
"Nevis",1,,,"false"
"Oregon",1,16,91,"true"
"Saudi Arabia",1,,,"false"
"St. Croix",1,,,"false"
"St. Maarten",1,,,"false"
"St. Simon",1,,,"false"
"St. Thomas",1,,,"false"
"Turkey",1,,,"false"
"United Arab Emirates",1,,,"false"
"Wyoming",1,,52,"true"
"Rhode Island",,87,607,"true"
"Minnesota",,67,958,"true"
"Vermont",,45,510,"true"
"New Hampshire",,33,335,"true"
"Delaware",,29,296,"true"
"Michigan",,12,673,"true"
"Washington DC",,11,336,"true"
"Montana",,,18,"true"
"Alaska",,,15,"true"
